,description,boot_space
192,"The Volvo V90 has a length of 4936 mm, a height of 1475 mm, a width of 1879 mm without the exterior mirrors and a measurement of 2019 millimeters with the mirrors unfolded. Motorization: diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called V90 Recharge. Because of its versatility and larger rear space, we classify the Volvo V90 in the category of estate cars. This model from the year 2020 is the same size compared to the dimensions of the 2016 Volvo V90.Do you like the trend of larger cars? 👍 👎",Boot space: 560 liters.
193,"The Audi A6 Avant has a length of 4939 mm, a height of 1470 mm, a width of 1886 mm without the exterior mirrors and a measurement of 2110 millimeters with the mirrors unfolded. Motorization: diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called A6 Avant TFSIe and has a boot space of 405* liters. Because of its versatility and larger rear space, we classify the Audi A6 Avant in the category of estate cars. This model from the year 2018 has the same length, 12 mm wider and 9 mm higher compared to the dimensions of the 2015 Audi A6 Avant.Do you like the trend of larger cars? 👍 👎",Boot space: 405* - 565 liters.
194,"The Mercedes-Benz E Estate has a length of 4949 mm, a height of 1469 mm, a width of 1880 mm without the exterior mirrors and a measurement of 2065 millimeters with the mirrors unfolded. Motorization: diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called E e Estate and has a boot space of 460* liters. Because of its versatility and larger rear space, we classify the Mercedes-Benz E Estate in the category of estate cars. This new model has the same length, 28 mm wider and 9 mm higher compared to the dimensions of the 2020 Mercedes-Benz E Estate.Do you like the trend of larger cars? 👍 👎",Boot space: 460* - 615 liters.
195,"The BMW 5 Touring has a length of 4963 mm, a height of 1498 mm, a width of 1868 mm without the exterior mirrors and a measurement of 2126 millimeters with the mirrors unfolded. Motorization: diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called 5 Touring e and has a boot space of 430* liters. Because of its versatility and larger rear space, we classify the BMW 5 Touring in the category of estate cars. This model from the year 2020 is 20 mm longer, has the same width and has the same height compared to the dimensions of the 2017 BMW 5 Touring.Do you like the trend of larger cars? 👍 👎",Boot space: 430* - 560 liters.
196,"The Jaguar XF Sportbrake has a length of 4964 mm, a height of 1494 mm, a width of 1890 mm without the exterior mirrors and a measurement of 2089 millimeters with the mirrors unfolded. Motorization: petrol and  diesel mild hybrid. Because of its versatility and larger rear space, we classify the Jaguar XF Sportbrake in the category of estate cars. This model from the year 2021 is 9 mm longer, 10 mm wider and has the same height compared to the dimensions of the 2017 Jaguar XF Sportbrake.Do you like the trend of larger cars? 👍 👎",Boot space: 563 liters.
197,"The Opel Insignia Sports Tourer has a length of 4986 mm, a height of 1500 mm, a width of 1863 mm without the exterior mirrors and a measurement of 2093 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its versatility and larger rear space, we classify the Opel Insignia Sports Tourer in the category of estate cars. This model from the year 2020 is the same size compared to the dimensions of the 2017 Opel Insignia Sports Tourer.Do you like the trend of larger cars? 👍 👎",Boot space: 560 liters.
198,"The BMW 2 Active Tourer has a length of 4386 mm, a height of 1576 mm, a width of 1824 mm without the exterior mirrors and a measurement of 2102 millimeters with the mirrors unfolded. The boot capacity varies depending on the position of the 13 centimeters sliding rear seats, to allow more space for the second-row passengers or luggage volume. Motorization: diesel,  petrol,  petrol mild hybrid and  petrol plug-in hybrid. The mild hybrid model has a boot space of 415* liters. The plug-in hybrid model has a boot space of 406* liters. Because of its interior flexibility and space optimization, we classify the BMW 2 Active Tourer in the category of MPV cars. This model from the year 2022 is 32 mm longer, 24 mm wider and 21 mm higher compared to the dimensions of the 2018 BMW 2 Active Tourer.Do you like the new generation size change? 👍 👎",Boot space: 406* - 470 liters.
199,"The Mercedes-Benz B Sports Tourer has a length of 4419 mm, a height of 1562 mm, a width of 1796 mm without the exterior mirrors and a measurement of 2020 millimeters with the mirrors unfolded. The boot capacity varies between 455 - 705 liters depending on the position of the 14 centimeters sliding rear seats, to allow more space for the second-row passengers or luggage volume. Motorization: diesel,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called B Sports Tourer e and has a boot space of 445* liters. Because of its interior flexibility and space optimization, we classify the Mercedes-Benz B Sports Tourer in the category of MPV cars. This model from the year 2023 is the same size compared to the dimensions of the 2019 Mercedes-Benz B Sports Tourer.Do you like the trend of larger cars? 👍 👎",Boot space: 445* - 455 liters.
200,"The Mercedes-Benz T ct has a length of 4498 mm, a height of 1852 mm, a width of 1859 mm without the exterior mirrors and a measurement of 2159 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its interior flexibility and space optimization, we classify the Mercedes-Benz T ct in the category of MPV cars.Do you like the trend of larger cars? 👍 👎",Boot space: 517 liters.
201,"The Volkswagen Touran has a length of 4527 mm, a height of 1659 mm, a width of 1829 mm without the exterior mirrors and a measurement of 2087 millimeters with the mirrors unfolded. The boot capacity with 5 seats varies between 633 - 743 liters depending on whether the third row of seats is present and folded down or is not present. Motorization: diesel and  petrol. Because of its interior flexibility and space optimization, we classify the Volkswagen Touran in the category of MPV cars. This model from the year 2016  stands out for being 130 mm longer compared to the dimensions of the 2010 Volkswagen Touran.Do you like the new generation size change? 👍 👎",Boot space: (5) 633-743 - (7) 137 liters.
202,"The Lexus LM has a length of 5130 mm, a height of 1945 mm and a width of 1890 mm without the exterior mirrors. Motorization: petrol hybrid. Because of its interior flexibility and space optimization, we classify the Lexus LM in the category of MPV cars.Do you like the trend of larger cars? 👍 👎",Boot space:  liters.
203,"The Hyundai Staria has a length of 5253 mm, a height of 1990 mm and a width of 1997 mm without the exterior mirrors. Motorization: diesel. Because of its interior flexibility and space optimization, we classify the Hyundai Staria in the category of MPV cars. This model from the year 2022  stands out for being 103 mm longer compared to the dimensions of the 2019 Hyundai H-1 Travel.Do you like the new generation size change? 👍 👎",Boot space: 831 - 1303 liters.
204,"The Suzuki Ignis has a length of 3700 mm, a height of 1605 mm and a width of 1690 mm without the exterior mirrors. The boot capacity varies between 260 - 373 liters depending on the position of the 17 centimeters sliding rear seats, to allow more space for the second-row passengers or luggage volume. Motorization: petrol mild hybrid. Because of its size, features and ground clearance of 18 cm, we classify the Suzuki Ignis in the category of small SUV. This model from the year 2020 is the same size compared to the dimensions of the 2017 Suzuki Ignis.Do you like the trend of larger cars? 👍 👎",Boot space: 260 liters.
205,"The Dacia Spring has a length of 3734 mm, a height of 1516 mm, a width of 1622 mm without the exterior mirrors and a measurement of 1770 millimeters with the mirrors unfolded. Motorization: electric. Because of its size, features and ground clearance of 15 cm, we classify the Dacia Spring in the category of small SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 300 liters.
206,"The Audi A1 allstreet has a length of 4046 mm, a height of 1483 mm, a width of 1756 mm without the exterior mirrors and a measurement of 1940 millimeters with the mirrors unfolded. Motorization: petrol. Because of its size, features and ground clearance of 16 cm, we classify the Audi A1 allstreet in the category of small SUV. This model from the year 2022 is the same size compared to the dimensions of the 2020 Audi A1 citycarver.Do you like the trend of larger cars? 👍 👎",Boot space: 335 liters.
207,"The Ford Fiesta Active has a length of 4068 mm, a height of 1498 mm, a width of 1756 mm without the exterior mirrors and a measurement of 1941 millimeters with the mirrors unfolded. Motorization: petrol and  petrol mild hybrid. Because of its size, features and ground clearance of 15 cm, we classify the Ford Fiesta Active in the category of small SUV. This model from the year 2022 is the same size compared to the dimensions of the 2018 Ford Fiesta Active.Do you like the trend of larger cars? 👍 👎",Boot space: 311 liters.
208,"The Jeep Avenger has a length of 4084 mm, a height of 1528 mm and a width of 1776 mm without the exterior mirrors. Motorization: electric. The electric model has a boot space of 355 liters. Because of its size, features and ground clearance of 20 cm, we classify the Jeep Avenger in the category of small SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 355 liters.
209,"The Dacia Sandero Stepway has a length of 4099 mm, a height of 1587 mm, a width of 1848 mm without the exterior mirrors and a measurement of 2007 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its size, features and ground clearance of 17 cm, we classify the Dacia Sandero Stepway in the category of small SUV. This model from the year 2021 is 18 mm longer, 87 mm wider and 31 mm lower compared to the dimensions of the 2017 Dacia Sandero Stepway.Do you like the new generation size change? 👍 👎",Boot space: 328 liters.
210,"The Honda Jazz Crosstar has a length of 4105 mm, a height of 1556 mm, a width of 1725 mm without the exterior mirrors and a measurement of 1966 millimeters with the mirrors unfolded. Motorization: petrol hybrid. Because of its size, features and ground clearance of 15 cm, we classify the Honda Jazz Crosstar in the category of small SUV. This model from the year 2023 is the same size compared to the dimensions of the 2020 Honda Jazz Crosstar.Do you like the trend of larger cars? 👍 👎",Boot space: 304 liters.
211,"The DS DS3 has a length of 4118 mm, a height of 1534 mm, a width of 1791 mm without the exterior mirrors and a measurement of 1988 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  electric. The electric model is called DS3 E-Tense. Because of its size, features and ground clearance of 17 cm, we classify the DS DS3 in the category of small SUV. This model from the year 2023 is the same size compared to the dimensions of the 2019 DS DS3 Crossback.Do you like the trend of larger cars? 👍 👎",Boot space: 350 liters.
212,"The Volkswagen T-Cross has a length of 4127 mm, a height of 1573 mm, a width of 1760 mm without the exterior mirrors and a measurement of 1993 millimeters with the mirrors unfolded. The boot capacity varies between 385 - 455 liters depending on the position of the 14 centimeters sliding rear seats, to allow more space for the second-row passengers or luggage volume. Motorization: petrol. Because of its size, features and ground clearance, we classify the Volkswagen T-Cross in the category of small SUV. This new model is 19 mm longer, has the same width and 11 mm lower compared to the dimensions of the 2019 Volkswagen T-Cross.Do you like the trend of larger cars? 👍 👎",Boot space: 385 liters.
213,"The Kia Stonic has a length of 4140 mm, a height of 1520 mm and a width of 1760 mm without the exterior mirrors. Motorization: petrol and  petrol mild hybrid. The mild hybrid model is called Stonic MHEV. Because of its size, features and ground clearance of 18 cm, we classify the Kia Stonic in the category of small SUV. This model from the year 2021 is the same size compared to the dimensions of the 2018 Kia Stonic.Do you like the trend of larger cars? 👍 👎",Boot space: 352 liters.
214,"The Opel Mokka has a length of 4151 mm, a height of 1531 mm, a width of 1791 mm without the exterior mirrors and a measurement of 1987 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  electric. The electric model is called Mokka-e and has a boot space of 310* liters. Because of its size, features and ground clearance, we classify the Opel Mokka in the category of small SUV. This model from the year 2021  stands out for being 124 mm shorter compared to the dimensions of the 2016 Opel Mokka X.Do you like the trend of larger cars? 👍 👎",Boot space: 310* - 350 liters.
215,"The Seat Arona has a length of 4153 mm, a height of 1552 mm, a width of 1780 mm without the exterior mirrors and a measurement of 1942 millimeters with the mirrors unfolded. Motorization: petrol. Because of its size, features and ground clearance of 19 cm, we classify the Seat Arona in the category of small SUV. This model from the year 2021 is the same size compared to the dimensions of the 2018 Seat Arona.Do you like the trend of larger cars? 👍 👎",Boot space: 400 liters.
216,"The Citroen C3 Aircross has a length of 4160 mm, a height of 1637 mm, a width of 1756 mm without the exterior mirrors and a measurement of 1976 millimeters with the mirrors unfolded. The boot capacity varies between 410 - 520 liters depending on the position of the 15 centimeters sliding rear seats, to allow more space for the second-row passengers or luggage volume. Motorization: diesel and  petrol. Because of its size, features and ground clearance of 17 cm, we classify the Citroen C3 Aircross in the category of small SUV. This model from the year 2021 is the same size compared to the dimensions of the 2018 Citroen C3 Aircross.Do you like the trend of larger cars? 👍 👎",Boot space: 410 liters.
217,"The Suzuki Vitara has a length of 4175 mm, a height of 1610 mm and a width of 1775 mm without the exterior mirrors. Motorization: petrol mild hybrid. The mild hybrid model is called Vitara Hybrid SHVS. Because of its size, features and ground clearance of 18 cm, we classify the Suzuki Vitara in the category of small SUV. This model from the year 2019 is the same size compared to the dimensions of the 2015 Suzuki Vitara.Do you like the trend of larger cars? 👍 👎",Boot space: 375 liters.
218,"The Toyota Yaris Cross has a length of 4180 mm, a height of 1595 mm and a width of 1765 mm without the exterior mirrors. Motorization: petrol hybrid. Because of its size, features and ground clearance of 16 cm, we classify the Toyota Yaris Cross in the category of small SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 397 liters.
219,"The Hyundai Bayon has a length of 4180 mm, a height of 1490 mm and a width of 1775 mm without the exterior mirrors. Motorization: petrol and  petrol mild hybrid. Because of its size, features and ground clearance of 16 cm, we classify the Hyundai Bayon in the category of small SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 411 liters.
220,"The Lexus LBX has a length of 4190 mm, a height of 1545 mm and a width of 1825 mm without the exterior mirrors. Motorization: petrol hybrid. Because of its size, features and ground clearance, we classify the Lexus LBX in the category of small SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 332 liters.
221,"The Kia e-Soul has a length of 4195 mm, a height of 1605 mm and a width of 1800 mm without the exterior mirrors. Motorization: electric. Because of its size, features and ground clearance of 15 cm, we classify the Kia e-Soul in the category of small SUV. This model from the year 2020 is 55 mm longer, has the same width and 12 mm higher compared to the dimensions of the 2014 Kia Soul.Do you like the new generation size change? 👍 👎",Boot space: 315 liters.
222,"The Ford Puma has a length of 4207 mm, a height of 1537 mm, a width of 1805 mm without the exterior mirrors and a measurement of 1930 millimeters with the mirrors unfolded. Motorization: petrol and  petrol mild hybrid. The mild hybrid model is called Puma Ecoboost Hybrid and has a boot space of 401* liters. Because of its size, features and ground clearance of 16 cm, we classify the Ford Puma in the category of compact SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 401* - 456 liters.
223,"The Audi Q2 has a length of 4208 mm, a height of 1508 mm, a width of 1794 mm without the exterior mirrors and a measurement of 2009 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its size, features and ground clearance of 15 cm, we classify the Audi Q2 in the category of compact SUV. This model from the year 2021 is the same size compared to the dimensions of the 2016 Audi Q2.Do you like the trend of larger cars? 👍 👎",Boot space: 405 liters.
224,"The Nissan Juke has a length of 4210 mm, a height of 1595 mm, a width of 1800 mm without the exterior mirrors and a measurement of 1983 millimeters with the mirrors unfolded. Motorization: petrol and  petrol hybrid. The hybrid model is called Juke Hybrid and has a boot space of 354* liters. Because of its size, features and ground clearance of 17 cm, we classify the Nissan Juke in the category of compact SUV. This model from the year 2020  stands out for being 75 mm longer compared to the dimensions of the 2014 Nissan Juke.Do you like the new generation size change? 👍 👎",Boot space: 354* - 422 liters.
225,"The Opel Crossland has a length of 4212 mm, a height of 1605 mm, a width of 1765 mm without the exterior mirrors and a measurement of 1976 millimeters with the mirrors unfolded. The boot capacity varies between 410 - 520 liters depending on the position of the 15 centimeters sliding rear seats, to allow more space for the second-row passengers or luggage volume. Motorization: diesel and  petrol. Because of its size, features and ground clearance of 17 cm, we classify the Opel Crossland in the category of compact SUV. This model from the year 2021 is the same size compared to the dimensions of the 2017 Opel Crossland X.Do you like the trend of larger cars? 👍 👎",Boot space: 410 liters.
226,"The SsangYong Tivoli has a length of 4225 mm, a height of 1621 mm and a width of 1810 mm without the exterior mirrors. Motorization: petrol. Because of its size, features and ground clearance of 18 cm, we classify the SsangYong Tivoli in the category of compact SUV. This model from the year 2020 is 23 mm longer, 12 mm wider and 21 mm higher compared to the dimensions of the 2018 SsangYong Tivoli.Do you like the trend of larger cars? 👍 👎",Boot space: 427 liters.
227,"The Renault Captur has a length of 4227 mm, a height of 1566 mm, a width of 1797 mm without the exterior mirrors and a measurement of 2003 millimeters with the mirrors unfolded. The boot capacity varies between 406 - 520 liters depending on the position of the 16 centimeters sliding rear seats, to allow more space for the second-row passengers or luggage volume. Motorization: petrol,  petrol mild hybrid,  petrol hybrid and  petrol plug-in hybrid. The hybrid model is called Captur E-TECH Hybrid and has a boot space of 305* liters. The plug-in hybrid model is called Captur E-TECH Plug-in and has a boot space of 265* liters. Because of its size, features and ground clearance of 17 cm, we classify the Renault Captur in the category of compact SUV. This model from the year 2020  stands out for being 105 mm longer compared to the dimensions of the 2017 Renault Captur.Do you like the new generation size change? 👍 👎",Boot space: 265* - 406 liters.
228,"The Mitsubishi ASX has a length of 4227 mm, a height of 1566 mm, a width of 1797 mm without the exterior mirrors and a measurement of 2003 millimeters with the mirrors unfolded. The boot capacity varies depending on the position of the 16 centimeters sliding rear seats, to allow more space for the second-row passengers or luggage volume. Motorization: petrol,  petrol mild hybrid,  petrol hybrid and  petrol plug-in hybrid. The hybrid model has a boot space of 305* liters. The plug-in hybrid model has a boot space of 265* liters. Because of its size, features and ground clearance of 17 cm, we classify the Mitsubishi ASX in the category of compact SUV. This model from the year 2023  stands out for being 138 mm shorter compared to the dimensions of the 2020 Mitsubishi ASX.Do you like the trend of larger cars? 👍 👎",Boot space: 265* - 401 liters.
229,"The Volvo EX30 has a length of 4233 mm, a height of 1549 mm, a width of 1836 mm without the exterior mirrors and a measurement of 2032 millimeters with the mirrors unfolded. Motorization: electric. Because of its size, features and ground clearance of 17 cm, we classify the Volvo EX30 in the category of compact SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 318 liters.
230,"The Jeep Renegade has a length of 4236 mm, a height of 1697 mm and a width of 1805 mm without the exterior mirrors. Motorization: diesel,  petrol,  petrol mild hybrid and  petrol plug-in hybrid. The mild hybrid model is called Renegade e-Hybrid and has a boot space of 351* liters. The plug-in hybrid model is called Renegade 4xe and has a boot space of 330* liters. Because of its size, features and ground clearance of 17 cm, we classify the Jeep Renegade in the category of compact SUV. This model from the year 2019 is the same size compared to the dimensions of the 2015 Jeep Renegade.Do you like the trend of larger cars? 👍 👎",Boot space: 330* - 351 liters.
231,"The Volkswagen T-Roc has a length of 4236 mm, a height of 1573 mm, a width of 1819 mm without the exterior mirrors and a measurement of 2012 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its size, features and ground clearance of 16 cm, we classify the Volkswagen T-Roc in the category of compact SUV. This model from the year 2022 is the same size compared to the dimensions of the 2018 Volkswagen T-Roc.Do you like the trend of larger cars? 👍 👎",Boot space: 445 liters.
232,"The Skoda Kamiq has a length of 4241 mm, a height of 1553 mm, a width of 1793 mm without the exterior mirrors and a measurement of 1988 millimeters with the mirrors unfolded. Motorization: petrol. Because of its size, features and ground clearance of 18 cm, we classify the Skoda Kamiq in the category of compact SUV. This new model is the same size compared to the dimensions of the 2020 Skoda Kamiq.Do you like the trend of larger cars? 👍 👎",Boot space: 400 liters.
233,"The Fiat 500X has a length of 4264 mm, a height of 1595 mm, a width of 1796 mm without the exterior mirrors and a measurement of 2025 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol mild hybrid. Because of its size, features and ground clearance of 16 cm, we classify the Fiat 500X in the category of compact SUV. This model from the year 2019 is 9 mm shorter, has the same width and 13 mm lower compared to the dimensions of the 2015 Fiat 500X.Do you like the trend of larger cars? 👍 👎",Boot space: 350 liters.
234,"The Smart #1 has a length of 4270 mm, a height of 1636 mm and a width of 1822 mm without the exterior mirrors. The boot capacity varies between 288 - 426 liters depending on the position of the 13 centimeters sliding rear seats, to allow more space for the second-row passengers or luggage volume. Motorization: electric. Because of its size, features and ground clearance, we classify the Smart #1 in the category of compact SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 288 liters.
235,"The Volkswagen Taigo has a length of 4271 mm, a height of 1515 mm, a width of 1757 mm without the exterior mirrors and a measurement of 1995 millimeters with the mirrors unfolded. Motorization: petrol. Because of its size, features and ground clearance, we classify the Volkswagen Taigo in the category of compact SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 440 liters.
236,"The BYD Dolphin has a length of 4290 mm, a height of 1570 mm, a width of 1770 mm without the exterior mirrors and a measurement of 2012 millimeters with the mirrors unfolded. Motorization: electric. Because of its size, features and ground clearance, we classify the BYD Dolphin in the category of compact SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 345 liters.
237,"The Suzuki S-Cross has a length of 4300 mm, a height of 1585 mm and a width of 1785 mm without the exterior mirrors. Motorization: petrol mild hybrid. Because of its size, features and ground clearance of 18 cm, we classify the Suzuki S-Cross in the category of compact SUV. This model from the year 2022 is the same size compared to the dimensions of the 2016 Suzuki S-Cross.Do you like the trend of larger cars? 👍 👎",Boot space: 430 liters.
238,"The Peugeot 2008 has a length of 4304 mm, a height of 1550 mm, a width of 1770 mm without the exterior mirrors and a measurement of 1987 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  electric. The electric model is called e-2008 and has a boot space of 405* liters. Because of its size, features and ground clearance of 17 cm, we classify the Peugeot 2008 in the category of compact SUV. This model from the year 2023 is the same size compared to the dimensions of the 2020 Peugeot 2008.Do you like the trend of larger cars? 👍 👎",Boot space: 405* - 434 liters.
239,"The MG ZS has a length of 4323 mm, a height of 1653 mm, a width of 1809 mm without the exterior mirrors and a measurement of 2048 millimeters with the mirrors unfolded. Motorization: petrol and  electric. Because of its size, features and ground clearance of 16 cm, we classify the MG ZS in the category of compact SUV. This model from the year 2022 is the same size compared to the dimensions of the 2020 MG ZS EV.Do you like the trend of larger cars? 👍 👎",Boot space: 448 liters.
240,"The Honda HR-V has a length of 4340 mm, a height of 1582 mm, a width of 1790 mm without the exterior mirrors and a measurement of 2028 millimeters with the mirrors unfolded. Motorization: petrol hybrid. Because of its size, features and ground clearance of 19 cm, we classify the Honda HR-V in the category of compact SUV. This model from the year 2022 is 5 mm longer, 18 mm wider and 23 mm lower compared to the dimensions of the 2019 Honda HR-V.Do you like the trend of larger cars? 👍 👎",Boot space: 335 liters.
241,"The Dacia Duster has a length of 4340 mm, a height of 1660 mm, a width of 1810 mm without the exterior mirrors and a measurement of 2060 millimeters with the mirrors unfolded. Motorization: petrol mild hybrid and  petrol hybrid. Because of its size, features and ground clearance of 21 cm, we classify the Dacia Duster in the category of compact SUV. This new model has the same length, 6 mm wider and 33 mm lower compared to the dimensions of the 2022 Dacia Duster.Do you like the trend of larger cars? 👍 👎",Boot space: 472 liters.
242,"The Toyota C-HR has a length of 4360 mm, a height of 1570 mm and a width of 1830 mm without the exterior mirrors. Motorization: petrol hybrid and  petrol plug-in hybrid. The plug-in hybrid model has a boot space of 310* liters. Because of its size, features and ground clearance, we classify the Toyota C-HR in the category of compact SUV. This new model is 30 mm shorter, 35 mm wider and 15 mm higher compared to the dimensions of the 2020 Toyota C-HR.Do you like the trend of larger cars? 👍 👎",Boot space: 310* - 388 liters.
243,"The Land-Rover Range Rover Evoque has a length of 4371 mm, a height of 1649 mm, a width of 1904 mm without the exterior mirrors and a measurement of 2100 millimeters with the mirrors unfolded. Motorization: diesel,  diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called Range Rover Evoque PHEV. Because of its size, features and ground clearance of 21 cm, we classify the Land-Rover Range Rover Evoque in the category of compact SUV. This model from the year 2019 is the same size compared to the dimensions of the 2015 Land-Rover Range Rover Evoque.Do you like the trend of larger cars? 👍 👎",Boot space: 472 liters.
244,"The Seat Ateca has a length of 4381 mm, a height of 1615 mm, a width of 1841 mm without the exterior mirrors and a measurement of 2078 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its size, features and ground clearance of 18 cm, we classify the Seat Ateca in the category of compact SUV. This model from the year 2020 is the same size compared to the dimensions of the 2016 Seat Ateca.Do you like the trend of larger cars? 👍 👎",Boot space: 510 liters.
245,"The CUPRA Ateca has a length of 4386 mm, a height of 1613 mm, a width of 1841 mm without the exterior mirrors and a measurement of 2078 millimeters with the mirrors unfolded. Motorization: petrol. Because of its size, features and ground clearance of 17 cm, we classify the CUPRA Ateca in the category of compact SUV. This model from the year 2020 is the same size compared to the dimensions of the 2019 CUPRA Ateca.Do you like the trend of larger cars? 👍 👎",Boot space: 485 liters.
246,"The Fiat Tipo Cross has a length of 4386 mm, a height of 1556 mm, a width of 1802 mm without the exterior mirrors and a measurement of 2002 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol mild hybrid. Because of its size, features and ground clearance of 16 cm, we classify the Fiat Tipo Cross in the category of compact SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 440 liters.
247,"The Honda e:Ny1 has a length of 4387 mm, a height of 1584 mm, a width of 1790 mm without the exterior mirrors and a measurement of 2028 millimeters with the mirrors unfolded. Motorization: electric. Because of its size, features and ground clearance of 14 cm, we classify the Honda e:Ny1 in the category of compact SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 361 liters.
248,"The Skoda Karoq has a length of 4390 mm, a height of 1603 mm, a width of 1841 mm without the exterior mirrors and a measurement of 2025 millimeters with the mirrors unfolded. Motorization: diesel and  petrol. Because of its size, features and ground clearance of 17 cm, we classify the Skoda Karoq in the category of compact SUV. This model from the year 2022 is the same size compared to the dimensions of the 2018 Skoda Karoq.Do you like the trend of larger cars? 👍 👎",Boot space: 521 liters.
249,"The Kia XCeed has a length of 4395 mm, a height of 1483 mm, a width of 1826 mm without the exterior mirrors and a measurement of 2055 millimeters with the mirrors unfolded. Motorization: diesel,  petrol,  diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. The plug-in hybrid model is called XCeed PHEV and has a boot space of 291* liters. Because of its size, features and ground clearance of 17 cm, we classify the Kia XCeed in the category of compact SUV. This model from the year 2023 is the same size compared to the dimensions of the 2020 Kia XCeed.Do you like the trend of larger cars? 👍 👎",Boot space: 291* - 426 liters.
250,"The Mazda CX-30 has a length of 4395 mm, a height of 1540 mm and a width of 1795 mm without the exterior mirrors. Motorization: petrol mild hybrid. Because of its size, features and ground clearance of 17 cm, we classify the Mazda CX-30 in the category of compact SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 430 liters.
251,"The Jaguar E-PACE has a length of 4395 mm, a height of 1648 mm, a width of 1900 mm without the exterior mirrors and a measurement of 2088 millimeters with the mirrors unfolded. Motorization: diesel,  diesel mild hybrid,  petrol mild hybrid and  petrol plug-in hybrid. Because of its size, features and ground clearance of 21 cm, we classify the Jaguar E-PACE in the category of compact SUV. This model from the year 2021 is the same size compared to the dimensions of the 2018 Jaguar E-PACE.Do you like the trend of larger cars? 👍 👎",Boot space: 394 liters.
252,"The Jeep Compass has a length of 4395 mm, a height of 1640 mm, a width of 1820 mm without the exterior mirrors and a measurement of 2115 millimeters with the mirrors unfolded. Motorization: diesel,  petrol,  petrol mild hybrid and  petrol plug-in hybrid. The mild hybrid model is called Compass e-Hybrid and has a boot space of 424* liters. The plug-in hybrid model is called Compass 4xe and has a boot space of 420* liters. Because of its size, features and ground clearance of 20 cm, we classify the Jeep Compass in the category of compact SUV. This model from the year 2021 is the same size compared to the dimensions of the 2017 Jeep Compass.Do you like the trend of larger cars? 👍 👎",Boot space: 420* - 438 liters.
253,"The Ford Focus Active has a length of 4397 mm, a height of 1502 mm, a width of 1844 mm without the exterior mirrors and a measurement of 1979 millimeters with the mirrors unfolded. Motorization: diesel,  petrol and  petrol mild hybrid. Because of its size, features and ground clearance of 16 cm, we classify the Ford Focus Active in the category of compact SUV. This model from the year 2022 is the same size compared to the dimensions of the 2019 Ford Focus Active.Do you like the trend of larger cars? 👍 👎",Boot space: 392 liters.
254,"The Smart #3 has a length of 4400 mm, a height of 1556 mm and a width of 1844 mm without the exterior mirrors. Motorization: electric. Because of its size, features and ground clearance, we classify the Smart #3 in the category of compact SUV.Do you like the trend of larger cars? 👍 👎",Boot space: 385 liters.
255,"The Mercedes-Benz GLA has a length of 4410 mm, a height of 1616 mm, a width of 1834 mm without the exterior mirrors and a measurement of 2020 millimeters with the mirrors unfolded. The boot capacity varies depending on the position of the 14 centimeters sliding rear seats, to allow more space for the second-row passengers or luggage volume. Motorization: diesel,  petrol and  petrol plug-in hybrid. The plug-in hybrid model is called GLA e and has a boot space of 385* liters. Because of its size, features and ground clearance of 17 cm, we classify the Mercedes-Benz GLA in the category of compact SUV. This model from the year 2020 is 14 mm shorter, 30 mm wider and 109 mm higher compared to the dimensions of the 2017 Mercedes-Benz GLA.Do you like the trend of larger cars? 👍 👎",Boot space: 385* - 435 liters.
